Course, From, Skill
Getting Started with CyberGIS, University of Illinois at Urbana-Champaign, Geovisualization  Python Programming
Emotion AI: Facial Key-points Detection, Coursera Project Network, Artificial Neural Networks  Computer Vision  Deep Learning  Machine Learning  Python Programming
Machine Learning for Telecom Customers Churn Prediction, Coursera Project Network, Algorithms  Machine Learning  Computer Programming  Python Programming
Machine Learning Rapid Prototyping with IBM Watson Studio, IBM, Data Science  Machine Learning  Python Programming
البرمجة للجميع - بدء استخدام بايثون, University of Michigan, Computer Programming  Python Programming
Information Extraction from Free Text Data in Health, University of Michigan, Computer Programming  Computer Programming Tools  Python Programming
XG-Boost 101: Used Cars Price Prediction, Coursera Project Network, Machine Learning  Regression  Python Programming
Introduction to Machine Learning in Sports Analytics, University of Michigan, Machine Learning Algorithms  Python Programming  Data Analysis
Moneyball and Beyond, University of Michigan, Data Analysis  Statistical Analysis  Python Programming  General Statistics  Probability & Statistics  Basic Descriptive Statistics  Statistical Programming  Exploratory Data Analysis  Regression  Statistical Tests
Ponlo en práctica: Prepárate para los trabajos en ciberseguridad, Google, Computer Programming  Python Programming  SQL
Genome Sequencing (Bioinformatics II), University of California San Diego, Algorithms  Bioinformatics  Computer Programming  Computational Thinking  Theoretical Computer Science  Python Programming
Pointers  Arrays  and Recursion, Duke University, Python Programming  Computer Programming
AI Workflow: Data Analysis and Hypothesis Testing, IBM, Data Analysis  Data Visualization  Data Science  Machine Learning  Python Programming
Database Clients, Meta, Data Management  Django (Web Framework)  Python Programming
Applied Data Science for Data Analysts, Databricks, Machine Learning  Machine Learning Algorithms  Algorithms  Human Learning  Python Programming  Applied Machine Learning  Regression  Data Analysis  Feature Engineering  Statistical Programming  Data Science
Mastering Data Analysis with Pandas, Coursera Project Network, Computer Programming  Data Analysis  Python Programming
Introduction to FastAPI framework, Duke University, Python Programming
Data Balancing with Gen AI: Credit Card Fraud Detection, Coursera Project Network, Python Programming
Data Analysis with OpenAI API: Save time with GenAI, Coursera Project Network, Python Programming
Visualization for Data Journalism, University of Illinois at Urbana-Champaign, Data Visualization  Communication  Journalism  Plot (Graphics)  Statistical Visualization  Data Analysis  Python Programming
Predict Future Product Prices Using Facebook Prophet, Coursera Project Network, Forecasting  Machine Learning  Python Programming  Data Science
Diabetes Prediction With Pyspark MLLIB, Coursera Project Network, Machine Learning  Python Programming  Data Science  Regression
Advanced Django: Building a Blog, Codio, Django (Web Framework)  Python Programming  React (web framework)  Web Development
3D SARS-CoV-19 Protein Visualization With Biopython, Coursera Project Network, Bioinformatics  Python Programming
Introduction to Computational Statistics for Data Scientists, Databricks, General Statistics  Probability & Statistics  Probability Distribution  Bayesian Statistics  Python Programming
Introducción a la ciencia de datos aplicada, Universidad de los Andes, Exploratory Data Analysis  General Statistics  Probability & Statistics  Python Programming  Mathematical Theory & Analysis  Operational Analysis  Process Analysis  Statistical Programming  Computer Programming
Introduction to Network Automation, Cisco Learning and Certifications, Computer Programming  Python Programming
Developing AI Applications on Azure, LearnQuest, Machine Learning  Cloud Computing  Microsoft Azure  Machine Learning Software  Python Programming  Statistical Programming  Computer Programming  Human Learning
CUDA Advanced Libraries, Johns Hopkins University, Artificial Neural Networks  Python Programming  Machine Learning  Data Science  Linear Algebra
Number Theory and Cryptography, University of California San Diego, Mathematics  Calculus  Algorithms  Theoretical Computer Science  Mathematical Theory & Analysis  Computer Programming  Python Programming  Cryptography
Explainable AI: Scene Classification and GradCam Visualization, Coursera Project Network, Deep Learning  Computer Vision  Machine Learning  Python Programming
English/French Translator: Long Short Term Memory Networks, Coursera Project Network, Deep Learning  Machine Learning  Natural Language Processing  Python Programming
Deep Learning with PyTorch : Build an AutoEncoder, Coursera Project Network, Deep Learning  Python Programming
Bank Loan Approval Prediction With Artificial Neural Nets, Coursera Project Network, Deep Learning  Machine Learning  Python Programming
AI Workflow: Machine Learning  Visual Recognition and NLP, IBM, Machine Learning  Natural Language Processing  Artificial Neural Networks  Data Science  Python Programming
Titanic Survival Prediction Using Machine Learning, Coursera Project Network, Data Science  Machine Learning  Python Programming  Regression
Working with Big Data, Coursera Project Network, Big Data  Python Programming
Building Recommendation System Using MXNET on AWS Sagemaker, Coursera Project Network, Deep Learning  Python Programming
Machine Learning with ChatGPT: Image Classification Model, Coursera Project Network, Machine Learning  Python Programming
Master Data Analysis with Pandas: Learning Path 1 (Enhanced), Coursera Project Network, Data Analysis  Python Programming
Fake News Detection with Machine Learning, Coursera Project Network, Machine Learning  Natural Language Processing  Python Programming
University Admission Prediction Using Multiple Linear Regression, Coursera Project Network, Machine Learning  Regression  Deep Learning  Python Programming
Functional Programming Principles in Scala (Scala 2 version), École Polytechnique Fédérale de Lausanne, Deep Learning  Python Programming  Computer Programming  Scala Programming
AI Workflow: Enterprise Model Deployment, IBM, Human Learning  Machine Learning  Apache  Python Programming  Data Science
Build a Data Warehouse Using BigQuery, Starweaver, Python Programming  SQL
Wearable Technologies and Sports Analytics, University of Michigan, Data Analysis  Statistical Analysis  General Statistics  Python Programming
Principles of Computing (Part 1), Rice University, Computer Programming  Python Programming  Programming Principles  Probability & Statistics  Algorithms  Combinatorics
Interacting with the System and Managing Memory, Duke University, Python Programming  Computer Programming
Fundamentals of Machine Learning for Supply Chain, LearnQuest, Machine Learning  Python Programming  Data Science
Object-Oriented Programming Concepts, LearnQuest, Computer Programming  Programming Principles  Software Engineering  Systems Design  Application Development  Computer Architecture  Design and Product  Python Programming  Software Architecture  Visual Design
Demand Forecasting Using Time Series, LearnQuest, Machine Learning  Python Programming
Machine Learning Models in Science, LearnQuest, Machine Learning  Python Programming
Execution  persistence  privilege escalation and evasion, Infosec, Python Programming
Bitcoin Price Prediction using Facebook Prophet, Coursera Project Network, Forecasting  Machine Learning  Python Programming  Computer Programming
Exam Prep AI-102: Microsoft Azure AI Engineer Associate, Whizlabs, Python Programming
Flask for Beginners: Creating an Application, Coursera Project Network, Python Programming  Web Development
Medical Insurance Premium Prediction with Machine Learning, Coursera Project Network, Machine Learning  Data Science  Python Programming
Time Series Data Visualization And Analysis Techniques, Coursera Project Network, Data Visualization  Python Programming
Basic Image Classification with TensorFlow, Coursera Project Network, Artificial Neural Networks  Deep Learning  Machine Learning  Python Programming  Tensorflow
Support Vector Machines with scikit-learn, Coursera Project Network, Machine Learning  Data Analysis  Data Science  Python Programming
